Year,State,City,Miles,Company
1894,Missouri,Kansas City,6.8,People’S Cable Railway Co.
1894,Missouri,Kansas City,3.25,South Suburban Railway Co.
1894,Missouri,Kansas City,10,West Side Railroad Co.
1894,Missouri,Lebanon,0.75,Lebanon Light & Water Co.
1894,Missouri,Sedalia,12,"Electric Railway, Light & Power Co."
1894,Missouri,Springfield,17,Springfield Street Railway Co.
1894,Missouri,St. Joseph,5.5,St. Joseph & Benton Harbor Electric Railway & Light Co.
1894,Missouri,St. Joseph,33,St. Joseph Traction & Lighting Co.
1894,Missouri,St. Louis,16,Citizens' Railway Co.
1894,Missouri,St. Louis,50,"Compton Heights, Union Depot & Merchants' Terminal Railway Co."
1894,Missouri,St. Louis,5.26,"Forest Park, Laclede Avenue & Fourth Street Railway"
1894,Missouri,St. Louis,5,Fourth Street & Arsenal Railway Co.
1894,Missouri,St. Louis,5.7,Grand Avenue Railway Co.
1894,Missouri,St. Louis,3,Midland Street Railway Co.
1894,Missouri,St. Louis,27.52,Missouri Railroad Co.
1894,Missouri,St. Louis,35,National Railway Co.
1894,Missouri,St. Louis,9.6,People'S Railroad Co.
1894,Missouri,St. Louis,16,Southern Electric Railway Co.
1894,Missouri,St. Louis,2,St. Louis & East St. Louis Electric Railway Co.
1894,Missouri,St. Louis,28,St. Louis & Suburban Railway Co.
1894,Missouri,St. Louis,3,St. Louis County Street Railway Co.
1894,Missouri,St. Louis,67,St. Louis Railroad Co.
1894,Missouri,St. Louis,14.7,St. Louis Railroad Co.
1894,Missouri,St. Louis,3,St. Louis Railroad Co.
1894,Missouri,Webb City,10,Southwest Missouri Electric Railway Co
1894,Montana,Anaconda,5.5,"Electric Railway, Light & Power Co."
1894,Montana,Butte,15,"Butte Consolidated Railway	Co."
1894,Montana,Great Falls,10.8,Great Falls Street Railway Co.
1894,Montana,Helena,9,Helena Electric Railway Co.
1894,Montana,Helena,15,Helena Rapid Transit Railroad.
1894,New Brunswick,St. John,5,St. Cloud City Street Car Co.
1894,Nova Scotia,Halifax,7,Nova Scotia Power Co. 
1894,Nova Scotia,Yarmouth,2,Yarmouth Street Railway Co.
1894,Nebraska,Beatrice,6,Beatrice Rapid Transit & Power Co.
